Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/11/10,27.77249908,27.77249908,26.45750046,26.94750023,25.04668999,228538000,up,down,down,down,down
2016/11/11,26.78000069,27.21750069,26.63750076,27.10750008,25.19540405,136575600,down,down,up,up,up
2016/11/14,26.92749977,26.95249939,26.02000046,26.42749977,24.56337738,204702000,up,down,down,down,down
2016/11/15,26.64249992,26.92000008,26.54000092,26.77750015,24.88868523,129058000,down,down,up,up,up
2016/11/16,26.67499924,27.55750084,26.64999962,27.49749947,25.55789185,235362000,up,up,up,up,up
2016/11/17,27.45249939,27.58749962,27.20750046,27.48749924,25.54859352,110528000,up,up,up,down,down
2016/11/18,27.43000031,27.63500023,27.41500092,27.51499939,25.57415771,113715600,down,up,up,up,up
2016/11/21,27.53000069,27.99749947,27.50250053,27.93250084,25.9622097,117058400,up,up,up,up,up
2016/11/22,27.98749924,28.10499954,27.85000038,27.95000076,25.97847939,103862000,up,up,up,up,up
2016/11/23,27.84000015,27.87750053,27.58250046,27.80750084,25.846035,109705600,down,down,down,down,down
2016/11/25,27.78249931,27.96750069,27.73749924,27.94750023,25.97615242,45903600,down,up,up,up,up
2016/11/28,27.85750008,28.11750031,27.84749985,27.89249992,25.92503357,108776000,up,up,up,down,down
2016/11/29,27.69499969,28.00749969,27.51749992,27.86499977,25.89946747,114115200,down,down,down,down,down
2016/11/30,27.89999962,28.04999924,27.56749916,27.62999916,25.68104744,144649200,up,up,up,down,down
2016/12/1,27.59250069,27.73500061,27.25749969,27.37249947,25.44170952,148347600,down,down,down,down,down
2016/12/2,27.29249954,27.52249908,27.21249962,27.47500038,25.53698349,106112000,down,down,down,up,up
2016/12/5,27.5,27.50749969,27.0625,27.27750015,25.35341072,137298000,up,down,down,down,down
2016/12/6,27.375,27.59000015,27.29750061,27.48749924,25.54859352,104782000,down,up,up,up,up
2016/12/7,27.31500053,27.79750061,27.29000092,27.75749969,25.79955292,119994800,down,up,down,up,up
2016/12/8,27.71500015,28.10750008,27.64999962,28.03000069,26.05282784,108273200,up,up,up,up,up
2016/12/9,28.07749939,28.67499924,28.07749939,28.48749924,26.47805786,137610400,up,up,up,up,up
2016/12/12,28.32250023,28.75,28.12249947,28.32500076,26.32702446,105497600,up,up,up,down,down
2016/12/13,28.45999908,28.97999954,28.4375,28.79750061,26.7661972,174935200,up,up,up,up,up
2016/12/14,28.76000023,29.04999924,28.74500084,28.79750061,26.7661972,136127200,up,up,up,up,up
2016/12/15,28.84499931,29.18250084,28.80750084,28.95499992,26.9125843,186098000,up,up,up,up,up
2016/12/16,29.11750031,29.125,28.91250038,28.99250031,26.9474411,177404400,up,down,up,up,up
2016/12/19,28.95000076,29.34499931,28.9375,29.15999985,27.10312462,111117600,down,up,up,up,up
